,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,GENDER,CATEGORY,EDUCATION
1370,Madhya Pradesh,MANDLA,KAMAL SINGH MARAVI,INC,Hand,MALE,ST,Graduate
1371,Madhya Pradesh,MANDLA,DADA RAMGULAM UIKEY,GGP,Saw,MALE,ST,8th Pass
1372,Madhya Pradesh,MANDLA,NOTA,NOTA,,,,
1373,Madhya Pradesh,MANDLA,CHANDRA SINGH KUSHRAM,BSCP,FLUTE,MALE,ST,12th Pass
1374,Madhya Pradesh,MANDLA,BHARAT SINGH POOSAM,IND,Helicopter,MALE,ST,Post Graduate
1375,Madhya Pradesh,MANDSOUR,Sudheer Gupta,BJP,Lotus,MALE,GENERAL,Post Graduate
1376,Madhya Pradesh,MANDSOUR,Meenakshi Natarajan,INC,Hand,FEMALE,GENERAL,Post Graduate
1377,Karnataka,MANDYA,SUMALATHA AMBAREESH,IND,Man Blowing Turha,FEMALE,GENERAL,10th Pass
1378,Karnataka,MANDYA,NIKHIL KUMARASWAMY,JD(S),A lady farmer carrying paddy on her head,MALE,GENERAL,Graduate
1379,Karnataka,MANDYA,M.L. SHASHIKUMAR,IND,Sitar,MALE,GENERAL,10th Pass
1380,Assam,MANGALDOI,DILIP SAIKIA,BJP,Lotus,MALE,GENERAL,Graduate
1381,Assam,MANGALDOI,BHUBANESWAR KALITA,INC,Hand,MALE,GENERAL,Post Graduate
1382,Assam,MANGALDOI,PRODEEP KUMAR DAIMARY,UPPL,Tractor Chalata Kisan,MALE,ST,Post Graduate
1383,Assam,MANGALDOI,NOTA,NOTA,,,,
1384,Uttar Pradesh,MATHURA,HEMA MALINI,BJP,Lotus,FEMALE,GENERAL,Doctorate
1385,Uttar Pradesh,MATHURA,KUNWAR NARENDRA SINGH,RLD,Hand Pump,MALE,GENERAL,Graduate
1386,Uttar Pradesh,MATHURA,MAHESH PATHAK,INC,Hand,MALE,GENERAL,Graduate
1387,West Bengal,MATHURAPUR,CHOUDHURY MOHAN JATUA,AITC,Flowers and Grass,MALE,SC,Post Graduate
1388,West Bengal,MATHURAPUR,SHYAMAPRASAD HALDER,BJP,Lotus,MALE,SC,Post Graduate
1389,West Bengal,MATHURAPUR,DR. SARAT CHANDRA HALDAR,CPI(M),"Hammer, Sickle and Star",MALE,SC,Graduate Professional
1390,West Bengal,MATHURAPUR,KRITTIBAS SARDAR,INC,Hand,MALE,SC,10th Pass
1391,Maharashtra,MAVAL,SHRIRANG APPA CHANDU BARNE,SHS,Bow and Arrow,MALE,GENERAL,8th Pass
1392,Maharashtra,MAVAL,PARTH AJIT PAWAR,NCP,Clock,MALE,GENERAL,Graduate
1393,Maharashtra,MAVAL,RAJARAM NARAYAN PATIL,VBA,Cup & Saucer,MALE,GENERAL,Others
1394,Maharashtra,MAVAL,NOTA,NOTA,,,,
1395,Kerala,MAVELIKKARA,KODIKUNNIL SURESH,INC,Hand,MALE,SC,Post Graduate
1396,Kerala,MAVELIKKARA,CHITTAYAM GOPAKUMAR,CPI(M),Ears of Corn And Sickle,MALE,SC,10th Pass
1397,Kerala,MAVELIKKARA,THAZHAVA SAHADEVAN,BDJS,Pot,MALE,SC,10th Pass
